PriceKey,ProductKey,PV1,PV2,PV3,PV4,PV5
51,10028340,17.9,17.9,17.9,17.9,17.9
52,10028354,23.9,23.9,23.9,23.9,23.9
53,10028410,18.9,18.9,18.9,18.9,18.9
54,10028424,26.9,26.9,26.9,26.9,26.9
55,10028466,19.5,19.5,19.5,19.5,19.5
56,10028494,89,89,89,89,89
57,10028613,14.9,14.9,14.9,14.9,14.9
58,10028620,17.8,17.8,17.8,17.8,17.8
59,10028655,22.9,22.9,22.9,22.9,22.9
60,10028690,34.9,34.9,34.9,34.9,34.9
61,10028732,20.9,20.9,20.9,20.9,20.9
62,10028774,9.89,9.89,9.89,9.89,9.89
63,10028816,9.39,9.39,9.39,9.39,9.39
64,10028844,10.2,10.2,10.2,10.2,10.2
65,10028893,17.9,17.9,17.9,17.9,17.9
66,10028921,69.9,69.9,69.9,69.9,69.8
67,10029026,44.9,44.9,44.9,44.9,44.7
68,10029054,26.8,26.8,26.8,26.8,26.8
69,10029082,28.9,28.9,28.9,28.9,28.9
70,10029124,3.15,3.15,3.15,3.15,3.15
71,10029152,5.15,5.15,5.15,5.15,5.15
72,10029166,6.29,6.29,6.29,6.29,6.29
73,10029173,6.39,6.39,6.39,6.39,6.39
74,10029180,8.79,8.79,8.79,8.79,8.79
75,10029194,9.49,9.49,9.49,9.49,9.49
76,10029201,10.05,10.05,10.05,10.05,10.05
77,10029215,10.5,10.5,10.5,10.5,10.5
78,10029222,12.5,12.5,12.5,12.5,12.5
79,10029236,14.5,14.5,14.5,14.5,14.5
80,10031413,4.99,4.99,4.99,4.99,4.99
81,10031434,5.79,5.79,5.79,5.79,5.79
82,10031455,4.79,4.79,4.79,4.79,4.79
83,10031462,5.79,5.79,5.79,5.79,5.79
84,10031490,7.79,7.79,7.79,7.79,7.79
85,10031511,14.06,14.06,14.06,14.06,14.06
86,10031525,25.65,25.65,25.65,25.65,25.65
87,10031553,18.9,18.9,18.9,18.9,18.9
88,10031560,27.9,27.9,27.9,27.9,27.9
89,10031644,29,29,29,29,29
90,10031756,3.15,3.15,3.15,3.15,3.15
91,10031763,3.77,3.77,3.77,3.77,3.77
92,10031805,3.19,3.19,3.19,3.19,2.89
93,10031812,2.98,2.98,2.98,2.98,2.89
94,10031826,4.79,4.79,4.79,4.79,4.79
95,10031833,3.69,3.69,3.69,3.69,3.69
96,10031840,3.95,3.95,3.95,3.95,3.95
97,10031854,3.69,3.69,3.69,3.69,3.69
98,10031861,5.79,5.79,5.79,5.79,5.79
99,10031875,8.05,8.05,8.05,8.05,8.05
100,10031903,19.9,19.9,19.9,19.9,19.9
101,10031931,27,27,27,27,27
102,10032386,0.55,0.55,0.55,0.55,0.55
103,10042032,11.7,11.7,11.7,11.7,11.83
104,10042046,12.9,12.9,12.9,12.9,11.3
105,10042053,29.32,29.32,29.32,29.32,29.32
106,10042081,42.29,42.29,42.29,42.29,42.29
107,10042151,1.52,1.52,1.52,1.52,1.52
108,10042165,3.33,3.33,3.33,3.33,4.26
109,10042172,4.26,4.26,4.26,4.26,4.26
110,10042242,1.52,1.52,1.52,1.52,1.52
111,10042263,4.8,4.8,4.8,4.8,4.8
112,10042270,4.6,4.6,4.6,4.6,4.6
113,10042396,168,168,168,168,168
114,10042403,224,224,224,224,224
115,10042410,294,294,294,294,294
116,10042550,28.5,28.5,28.5,28.5,28.5
117,10042704,45.9,45.9,45.9,45.9,45.9
118,10042732,5.02,5.02,5.02,5.02,5.02
119,10042746,6.3,6.3,6.3,6.3,6.3
120,10042753,3.4,3.4,3.4,3.4,3.4
121,10042760,6.06,6.06,6.06,6.06,6.06
122,10042774,7.49,7.49,7.49,7.49,7.49
123,10042795,12.2,12.2,12.2,12.2,12.2
124,10042823,3.85,3.85,3.85,3.85,3.89
125,10042851,3.35,3.35,3.35,3.35,3.09
126,10042865,4.89,4.89,4.89,4.89,4.79
127,10042872,5.89,5.89,5.89,5.89,5.79
128,10042886,6.37,6.37,6.37,6.37,6.37
129,10042893,7.06,7.06,7.06,7.06,7.06
130,10042900,10.74,10.74,10.74,10.74,10.74
131,10045196,6.9,6.9,6.9,6.9,6.89
132,10045273,13.3,13.3,13.3,13.3,11.9
133,10045322,9.36,9.36,9.36,9.36,8.89
134,10045385,16.26,16.26,16.26,16.26,13.9
135,10045420,10.84,10.84,10.84,10.84,9.89
136,10045455,16.75,16.75,16.75,16.75,14.9
137,10045651,10.84,10.84,10.84,10.84,9.99
138,10045756,8.87,8.87,8.87,8.87,7.89
139,10045784,12.32,12.32,12.32,12.32,10.8
140,10045791,15.27,15.27,15.27,15.27,13.9
141,10045812,18.23,18.23,18.23,18.23,18.49
142,10046176,4.79,4.79,4.79,4.79,4.17
143,10046316,4.19,4.19,4.19,4.19,4.12
144,10046351,6.41,6.41,6.41,6.41,6.3
145,10046365,6.9,6.9,6.9,6.9,5.99
146,10046386,6.9,6.9,6.9,6.9,6.79
147,10046393,7.39,7.39,7.39,7.39,7.19
148,10046624,2.97,2.97,2.97,2.97,2.89
149,10046645,4.29,4.29,4.29,4.29,4.22
150,10046673,3.91,3.91,3.91,3.91,2.99
151,10046813,4.19,4.19,4.19,4.19,4.12
152,10047632,22.5,22.5,22.5,22.5,22.5
153,10047646,30.5,30.5,30.5,30.5,30.5
154,10047653,35,35,35,35,35
155,10047660,29.5,29.5,29.5,29.5,29.5
156,10047674,36.9,36.9,36.9,36.9,36.9
157,10047681,45,45,45,45,45
158,10047793,12.5,12.5,12.5,12.5,12.5
159,10047821,14.5,14.5,14.5,14.5,14.5
160,10047856,18.5,18.5,18.5,18.5,18.5
161,10047933,21.5,21.5,21.5,21.5,21.5
162,10048136,5.49,5.49,5.49,5.49,5.49
163,10048143,6.49,6.49,6.49,6.49,6.49
164,10048150,7.99,7.99,7.99,7.99,7.99
165,10048164,8.99,8.99,8.99,8.99,8.99
166,10048171,5.49,5.49,5.49,5.49,5.49
167,10048185,6.99,6.99,6.99,6.99,6.99
168,10048192,7.99,7.99,7.99,7.99,7.99
169,10048206,8.99,8.99,8.99,8.99,8.99
170,10053435,45.9,45.9,45.9,45.9,45.9
171,10053456,84.9,84.9,84.9,84.9,84.9
172,10053463,93.9,93.9,93.9,93.9,93.9
173,10053470,48.5,48.5,48.5,48.5,48.5
174,10053484,99.5,99.5,99.5,99.5,99.5
175,10053491,44.9,44.9,44.9,44.9,44.9
176,10053505,22.9,22.9,22.9,22.9,22.9
177,10053512,15.5,15.5,15.5,15.5,15.5
178,10053526,21.5,21.5,21.5,21.5,21.5
179,10053540,54.9,54.9,54.9,54.9,54.9
180,10053554,31.9,31.9,31.9,31.9,31.9
181,10053603,82.9,82.9,82.9,82.9,82.9
182,10053652,19.9,19.9,19.9,19.9,19.9
183,10053666,10.69,10.69,10.69,10.69,10.69
184,10053694,849.9,849.9,849.9,849.9,849.9
185,10053701,1118,1118,1118,1118,1118
186,10053806,17.5,17.5,17.5,17.5,17.5
187,10053813,21.9,21.9,21.9,21.9,21.9
188,10053820,35,35,35,35,35
189,10053841,27.5,27.5,27.5,27.5,27.5
190,10053855,24.9,24.9,24.9,24.9,24.9
191,10053876,36.9,36.9,36.9,36.9,36.9
192,10053883,58.4,58.4,58.4,58.4,58.4
193,10053890,60.9,60.9,60.9,60.9,60.9
194,10053953,45.9,45.9,45.9,45.9,45.9
195,10053960,21.9,21.9,21.9,21.9,21.9
196,10054632,168,168,168,168,168
197,10054660,168,168,168,168,168
198,10055171,14.99,14.99,14.99,14.99,10.35
199,10056263,9.39,9.39,9.39,9.39,9.39
200,10056270,9.39,9.39,9.39,9.39,9.39
201,10056284,9.39,9.39,9.39,9.39,9.39
202,10056291,5.69,5.69,5.69,5.69,5.69
203,10056305,5.45,5.45,5.45,5.45,5.45
204,10056312,5.69,5.69,5.69,5.69,5.69
205,10056326,5.45,5.45,5.45,5.45,5.45
206,10056333,8.85,8.85,8.85,8.85,8.85
207,10056340,8.85,8.85,8.85,8.85,8.85
208,10056354,8.85,8.85,8.85,8.85,8.85
209,10056361,8.85,8.85,8.85,8.85,8.85
210,10056606,25.9,25.9,25.9,25.9,25.9
211,10057663,9.39,9.39,9.39,9.39,9.39
212,10060596,1.89,1.89,1.89,1.89,1.89
213,10060624,5.9,5.9,5.9,5.9,5.9
214,10060666,6.2,6.2,6.2,6.2,6.2
215,10062570,5.99,5.99,5.99,5.99,5.99
216,10063151,1.89,1.89,1.89,1.89,1.89
217,10063165,2.59,2.59,2.59,2.59,2.59
218,10063172,3.99,3.99,3.99,3.99,3.99
219,10063984,2.75,2.75,2.75,2.75,2.75
220,10065776,1.5,1.5,1.5,1.5,1.5
221,10065853,4.15,4.15,4.15,4.15,4.09
222,10065860,8.75,8.75,8.75,8.75,8.75
223,10065874,22.9,22.9,22.9,22.9,22.9
224,10065881,33,33,33,33,33
225,10065986,11.9,11.9,11.9,11.9,11.9
226,10066014,10.5,10.5,10.5,10.5,10.5
227,10066483,5.59,5.59,5.59,5.59,5.59
228,10067505,21.9,21.9,21.9,21.9,21.9
229,10067512,12.9,12.9,12.9,12.9,12.9
230,10067526,14.9,14.9,14.9,14.9,14.9
231,10067533,17.9,17.9,17.9,17.9,17.9
232,10067561,63.9,63.9,63.9,63.9,63.9
233,10067575,82.9,82.9,82.9,82.9,82.9
234,10070053,10.9,10.9,10.9,10.9,10.9
235,10070165,57,57,57,57,57
236,10070200,10.9,10.9,10.9,10.9,10.5
237,10070214,39.9,39.9,39.9,39.9,39.9
238,10070375,16.5,16.5,16.5,16.5,15.3
239,10070431,63,63,63,63,63
240,10070452,43,43,43,43,43
241,10071474,11.9,11.9,11.9,11.9,11.9
242,10071572,21.5,21.5,21.5,21.5,21.5
243,10071635,16.5,16.5,16.5,16.5,16.5
244,10072426,75,75,75,75,75
245,10072433,92,92,92,92,92
246,10076073,14.9,14.9,14.9,14.9,14.9
247,10086972,49.9,49.9,49.9,49.9,49.9
248,10087161,0.99,0.99,0.99,0.99,0.99
249,10087175,1.19,1.19,1.19,1.19,1.19
250,10087182,1.19,1.19,1.19,1.19,1.19
251,10087196,2.47,2.47,2.47,2.47,2.47
252,10087203,1.29,1.29,1.29,1.29,1.29
253,10087224,1.29,1.29,1.29,1.29,1.29
254,10087231,1.44,1.44,1.44,1.44,1.44
255,10087252,4.18,4.18,4.18,4.18,4.18
256,10087266,4.74,4.74,4.74,4.74,4.74
257,10087280,1.18,1.18,1.18,1.18,1.18
258,10087294,1.99,1.99,1.99,1.99,1.99
259,10087315,1.98,1.98,1.98,1.98,1.98
260,10087322,1.78,1.78,1.78,1.78,1.78
261,10087336,2.67,2.67,2.67,2.67,2.67
262,10087343,1.94,1.94,1.94,1.94,1.94
263,10087350,1.94,1.94,1.94,1.94,1.94
264,10087371,1.19,1.19,1.19,1.19,1.19
265,10087385,2.9,2.9,2.9,2.9,2.9
266,10087392,3.27,3.27,3.27,3.27,3.27
267,10087413,2.76,2.76,2.76,2.76,2.76
268,10087434,2.39,2.39,2.39,2.39,2.39
269,10087441,2.59,2.59,2.59,2.59,2.59
270,10087455,5.37,5.37,5.37,5.37,5.37
271,10087476,6.29,6.29,6.29,6.29,6.29
272,10087483,5.39,5.39,5.39,5.39,5.39
273,10087525,7.29,7.29,7.29,7.29,7.29
274,10087560,10.19,10.19,10.19,10.19,10.19
275,10087574,7.99,7.99,7.99,7.99,7.99
276,10087581,10.19,10.19,10.19,10.19,10.19
277,10087595,5.61,5.61,5.61,5.61,5.61
278,10087630,9.09,9.09,9.09,9.09,9.09
279,10088666,79.49,79.49,79.49,79.49,79.49
280,10088715,2.29,2.29,2.29,2.29,2.29
281,10088722,2.59,2.59,2.59,2.59,2.59
282,10088736,2.69,2.69,2.69,2.69,2.69
283,10088743,2.79,2.79,2.79,2.79,2.79
284,10088750,3.19,3.19,3.19,3.19,3.19
285,10088764,4.09,4.09,4.09,4.09,4.09
286,10088771,3.44,3.44,3.44,3.44,3.44
287,10088785,4.89,4.89,4.89,4.89,4.89
288,10088792,5.49,5.49,5.49,5.49,5.49
289,10088806,5.34,5.34,5.34,5.34,5.34
290,10088813,4.89,4.89,4.89,4.89,4.89
291,10088820,6.2,6.2,6.2,6.2,6.2
292,10088834,6.39,6.39,6.39,6.39,6.39
293,10088841,6.99,6.99,6.99,6.99,6.99
294,10088855,7.49,7.49,7.49,7.49,7.49
295,10088862,8.79,8.79,8.79,8.79,8.79
296,10088876,7.59,7.59,7.59,7.59,7.59
297,10088883,9.25,9.25,9.25,9.25,9.25
298,10088890,10.99,10.99,10.99,10.99,10.99
299,10088911,13.9,13.9,13.9,13.9,13.9
300,10088932,16.9,16.9,16.9,16.9,16.9
301,10088946,15.1,15.1,15.1,15.1,15.1
302,10088974,6.19,6.19,6.19,6.19,6.19
303,10089002,6.89,6.89,6.89,6.89,6.89
304,10089072,24.9,24.9,24.9,24.9,24.9
305,10089086,29.9,29.9,29.9,29.9,29.9
306,10089093,43.5,43.5,43.5,43.5,43.5
307,10089100,13.19,13.19,13.19,13.19,13.19
308,10089114,19.99,19.99,19.99,19.99,19.99
309,10089121,26.7,26.7,26.7,26.7,26.7
310,10089471,8.79,8.79,8.79,8.79,8.79
311,10089485,9.8,9.8,9.8,9.8,9.8
312,10089513,3.49,3.49,3.49,3.49,3.49
313,10089520,2.79,2.79,2.79,2.79,2.79
314,10089555,4.69,4.69,4.69,4.69,4.69
315,10089590,1.19,1.19,1.19,1.19,1.19
316,10089604,1.24,1.24,1.24,1.24,1.24
317,10089625,2.96,2.96,2.96,2.96,2.96
318,10089632,3.34,3.34,3.34,3.34,3.34
319,10089646,2.94,2.94,2.94,2.94,2.94
320,10089653,5.4,5.4,5.4,5.4,5.4
321,10089674,6.5,6.5,6.5,6.5,6.5
322,10089702,8.86,8.86,8.86,8.86,8.86
323,10089716,12.9,12.9,12.9,12.9,12.9
324,10089884,12.47,12.47,12.47,12.47,12.47
325,10089933,14.24,14.24,14.24,14.24,14.24
326,10090472,64.9,64.9,64.9,64.9,64.9
327,10090612,61.5,61.5,61.5,61.5,61.5
328,10090626,59,59,59,59,59
329,10090801,5.99,5.99,5.99,5.99,5.99
330,10090815,7.39,7.39,7.39,7.39,7.39
331,10094875,4.49,4.49,4.49,4.49,4.49
332,10094882,4.89,4.89,4.89,4.89,4.89
333,10094896,14.5,14.5,14.5,14.5,14.5
334,10094903,3.9,3.9,3.9,3.9,3.9
335,10099180,38,38,38,38,38
336,10099194,38,38,38,38,38
337,10099222,123,123,123,123,123
338,10099341,79,79,79,79,79
339,10099761,22.9,22.9,22.9,22.9,22.9
340,10100440,8.22,8.22,8.22,8.22,8.22
341,10100475,7.51,7.51,7.51,7.51,7.51
342,10103744,13.9,13.9,13.9,13.9,13.9
343,10107111,12.9,12.9,12.9,12.9,12.9
344,10107321,20.9,20.9,20.9,20.9,17.8
345,10107986,13.5,13.5,13.5,13.5,13.5
346,10108105,13.08,13.08,13.08,13.08,13.08
347,10108175,30.75,30.75,30.75,30.75,30.75
348,10108371,38,38,38,38,38
349,10108406,119,119,119,119,119
350,10108420,129,129,129,129,129
351,10108455,88,88,88,88,88
352,10108462,71.3,71.3,71.3,71.3,57
353,10108574,18.9,18.9,18.9,18.9,18.9
354,10113852,10.2,10.2,10.2,10.2,10.2
355,10114552,10.9,10.9,10.9,10.9,10.9
356,10118241,32.9,32.9,32.9,32.9,32.9
357,10118360,35,35,35,35,35
358,10118423,32.9,32.9,32.9,32.9,32.9
359,10118724,47.91,47.91,47.91,47.91,47.91
360,10118731,12.79,12.79,12.79,12.79,12.79
361,10121825,1.29,1.29,1.29,1.29,1.29
362,10121923,1.59,1.59,1.59,1.59,1.59
363,10123764,2.79,2.79,2.79,2.79,2.79
364,10123771,3.49,3.49,3.49,3.49,3.49
365,10124114,2.19,2.19,2.19,2.19,2.19
366,10124121,2.49,2.49,2.49,2.49,2.49
367,10124135,4.15,4.15,4.15,4.15,4.15
368,10132115,5.7,5.7,5.7,5.7,5.7
369,10138912,94.9,94.9,94.9,94.9,94.9
370,10139073,10.9,10.9,10.9,10.9,10.9
371,10139115,32.7,32.7,32.7,32.7,32.7
372,10139122,49,49,49,49,49
373,10139164,48,48,48,48,48
374,10139206,10.55,10.55,10.55,10.55,10.55
375,10139234,79.9,79.9,79.9,79.9,79.9
376,10139311,24.9,24.9,24.9,24.9,24.9
377,10139325,4.98,4.98,4.98,4.98,4.98
378,10139472,43.5,43.5,43.5,43.5,43.5
379,10139570,7.75,7.75,7.75,7.75,7.75
380,10139591,44.9,44.9,44.9,44.9,44.9
381,10139724,52.9,52.9,52.9,52.9,52.9
382,10140375,81.4,81.4,81.4,81.4,81.4
383,10144925,6.49,6.49,6.49,6.49,6.49
384,10144932,6.98,6.98,6.98,6.98,6.98
385,10144946,10.2,10.2,10.2,10.2,10.2
386,10144953,9.1,9.1,9.1,9.1,9.1
387,10144981,9.49,9.49,9.49,9.49,9.49
388,10145002,12.5,12.5,12.5,12.5,12.5
389,10145016,22.87,22.87,22.87,22.87,22.87
390,10145114,22.49,22.49,22.49,22.49,22.49
391,10145142,5.49,5.49,5.49,5.49,5.49
392,10145156,8.62,8.62,8.62,8.62,8.62
393,10145163,6.7,6.7,6.7,6.7,6.7
394,10145170,6.72,6.72,6.72,6.72,6.72
395,10145184,8.69,8.69,8.69,8.69,8.69
396,10145240,12.3,12.3,12.3,12.3,12.3
397,10145261,9.19,9.19,9.19,9.19,9.19
398,10145296,12.9,12.9,12.9,12.9,12.9
399,10145303,9.99,9.99,9.99,9.99,9.99
400,10145310,10.6,10.6,10.6,10.6,10.6
401,10145324,15.3,15.3,15.3,15.3,15.3
402,10145331,15.4,15.4,15.4,15.4,15.4
403,10145345,21,21,21,21,21
404,10145352,15.9,15.9,15.9,15.9,15.9
405,10145373,15.9,15.9,15.9,15.9,15.9
406,10145380,22.2,22.2,22.2,22.2,22.2
407,10145422,16.95,16.95,16.95,16.95,16.95
408,10145450,36.4,36.4,36.4,36.4,36.4
409,10145471,19.28,19.28,19.28,19.28,19.28
410,10145492,10.69,10.69,10.69,10.69,10.69
411,10145653,9.45,9.45,9.45,9.45,9.45
412,10145702,22.87,22.87,22.87,22.87,22.87
413,10145786,61.9,61.9,61.9,61.9,61.9
414,10145793,16.8,16.8,16.8,16.8,16.8
415,10145800,18.5,18.5,18.5,18.5,18.5
416,10147095,14.9,14.9,14.9,14.9,14.9
417,10147116,1.29,1.29,1.29,1.29,1.29
418,10147396,0.99,0.99,0.99,0.99,0.99
419,10147424,2.99,2.99,2.99,2.99,2.99
420,10155544,14.9,14.9,14.9,14.9,14.9
421,10155551,21.2,21.2,21.2,21.2,21.2
422,10155572,14.99,14.99,14.99,14.99,14.99
423,10155600,19.9,19.9,19.9,19.9,19.9
424,10155642,19.4,19.4,19.4,19.4,19.4
425,10155656,18.49,18.49,18.49,18.49,18.49
426,10155684,16.8,16.8,16.8,16.8,16.8
427,10155740,19.26,19.26,19.26,19.26,19.26
428,10155761,22.3,22.3,22.3,22.3,22.3
429,10155775,29.6,29.6,29.6,29.6,29.6
430,10155992,9.08,9.08,9.08,9.08,9.08
431,10156020,19.4,19.4,19.4,19.4,19.4
432,10156111,23.9,23.9,23.9,23.9,23.9
433,10156146,21.5,21.5,21.5,21.5,21.5
434,10156195,5.55,5.55,5.55,5.55,5.55
435,10156202,6.49,6.49,6.49,6.49,6.49
436,10156216,7.49,7.49,7.49,7.49,7.49
437,10156223,10.34,10.34,10.34,10.34,10.34
438,10156251,11.46,11.46,11.46,11.46,11.46
439,10156265,13.49,13.49,13.49,13.49,13.49
440,10156272,14.99,14.99,14.99,14.99,14.99
441,10156356,16.4,16.4,16.4,16.4,16.4
442,10156405,17.1,17.1,17.1,17.1,17.1
443,10156412,21.9,21.9,21.9,21.9,21.9
444,10156433,12.99,12.99,12.99,12.99,12.99
445,10156440,15.2,15.2,15.2,15.2,15.2
446,10156531,1.69,1.69,1.69,1.69,1.69
447,10156622,15.5,15.5,15.5,15.5,15.5
448,10156734,15.8,15.8,15.8,15.8,15.8
449,10157322,24.9,24.9,24.9,24.9,24.9
450,10160703,19.5,19.5,19.5,19.5,19.5
451,10160731,8.35,8.35,8.35,8.35,8.35
452,10160752,10.9,10.9,10.9,10.9,10.9
453,10160780,10.79,10.79,10.79,10.79,10.79
454,10160794,13.5,13.5,13.5,13.5,13.5
455,10160815,16.9,16.9,16.9,16.9,16.9
456,10160871,1.15,1.15,1.15,1.15,1.15
457,10160885,1.7,1.7,1.7,1.7,1.7
458,10160892,2.9,2.9,2.9,2.9,2.9
459,10160906,3.15,3.15,3.15,3.15,3.15
460,10160913,3.39,3.39,3.39,3.39,3.39
461,10160920,2.7,2.7,2.7,2.7,2.7
462,10160934,3.4,3.4,3.4,3.4,3.4
463,10160941,3.5,3.5,3.5,3.5,3.5
464,10161004,5.2,5.2,5.2,5.2,5.2
465,10161046,8,8,8,8,8
466,10161053,8.3,8.3,8.3,8.3,8.3
467,10166625,25.1,25.1,25.1,25.1,25.1
468,10170496,9.5,9.5,9.5,9.5,9.5
469,10170503,20.5,20.5,20.5,20.5,20.5
470,10170783,90,90,90,90,90
471,10170811,0.85,0.85,0.85,0.85,0.85
472,10170825,1.29,1.29,1.29,1.29,1.29
473,10170832,1.53,1.53,1.53,1.53,1.53
474,10170846,1.53,1.53,1.53,1.53,1.53
475,10170853,1.79,1.79,1.79,1.79,1.79
476,10170860,3,3,3,3,3
477,10170874,3,3,3,3,3
478,10170881,3.9,3.9,3.9,3.9,3.9
479,10170895,5.03,5.03,5.03,5.03,5.03
480,10170902,4.45,4.45,4.45,4.45,4.45
481,10170916,6.4,6.4,6.4,6.4,6.4
482,10170923,8.85,8.85,8.85,8.85,8.85
483,10170951,1,1,1,1,1
484,10170972,3.53,3.53,3.53,3.53,3.53
485,10170993,4.99,4.99,4.99,4.99,4.99
486,10171021,2.09,2.09,2.09,2.09,2.09
487,10171035,2.44,2.44,2.44,2.44,2.44
488,10171056,2.7,2.7,2.7,2.7,2.7
489,10171070,4.88,4.88,4.88,4.88,4.91
490,10171091,4.9,4.9,4.9,4.9,4.9
491,10171112,7.15,7.15,7.15,7.15,7.15
492,10171140,10.9,10.9,10.9,10.9,10.9
493,10171154,17.9,17.9,17.9,17.9,17.9
494,10171182,12.6,12.6,12.6,12.6,12.6
495,10171203,22.5,22.5,22.5,22.5,22.5
496,10171364,6.19,6.19,6.19,6.19,6.19
497,10171371,8.89,8.89,8.89,8.89,8.89
498,10171385,8.79,8.79,8.79,8.79,8.79
499,10171392,9.95,9.95,9.95,9.95,9.95
500,10171406,12.5,12.5,12.5,12.5,12.5
501,10171413,58.5,58.5,58.5,58.5,58.5
502,10171420,92.9,92.9,92.9,92.9,92.9
503,10171434,17.5,17.5,17.5,17.5,17.5
504,10171441,8.79,8.79,8.79,8.79,8.79
505,10171455,14.58,14.58,14.58,14.58,14.58
506,10171462,11.5,11.5,11.5,11.5,11.5
507,10171476,14.9,14.9,14.9,14.9,14.9
508,10171483,11.9,11.9,11.9,11.9,11.9
509,10171490,20.9,20.9,20.9,20.9,20.9
510,10171504,32.9,32.9,32.9,32.9,32.9
511,10171511,40.9,40.9,40.9,40.9,40.9
512,10171532,29.9,29.9,29.9,29.9,25.7
513,10171553,2.59,2.59,2.59,2.59,2.59
514,10171560,3.18,3.18,3.18,3.18,3.09
515,10171574,7.09,7.09,7.09,7.09,7.09
516,10171581,7.09,7.09,7.09,7.09,7.09
517,10171595,7.09,7.09,7.09,7.09,7.09
518,10171602,6.29,6.29,6.29,6.29,6.29
519,10171616,6.29,6.29,6.29,6.29,6.29
520,10171623,6.29,6.29,6.29,6.29,6.29
521,10171630,5.79,5.79,5.79,5.79,5.79
522,10171644,7.28,7.28,7.28,7.28,7.28
523,10171651,12.9,12.9,12.9,12.9,12.9
524,10171665,11,11,11,11,11
525,10171672,14.9,14.9,14.9,14.9,14.9
526,10171686,12.9,12.9,12.9,12.9,12.9
527,10171735,5.55,5.55,5.55,5.55,5.55
528,10171742,5.5,5.5,5.5,5.5,5.5
529,10171756,8.7,8.7,8.7,8.7,8.7
530,10171763,12.5,12.5,12.5,12.5,11.1
531,10171770,11.7,11.7,11.7,11.7,11.7
532,10171784,12.03,12.03,12.03,12.03,12.03
533,10171791,18.16,18.16,18.16,18.16,18.16
534,10171812,28,28,28,28,28
535,10171833,39,39,39,39,39
536,10171875,47.9,47.9,47.9,47.9,47.9
537,10179673,39.9,39.9,39.9,39.9,39.9
538,10187163,56.09,56.09,56.09,56.09,56.09
539,10188122,55.48,55.48,55.48,55.48,55.48
540,10194653,17.08,17.08,17.08,17.08,17.08
541,10195773,29.8,29.8,29.8,29.8,29.8
542,10195815,13,13,13,13,13
543,10195836,16.5,16.5,16.5,16.5,16.5
544,10195920,23.5,23.5,23.5,23.5,23.5
545,10196102,48.5,48.5,48.5,48.5,48.5
546,10196410,72.9,72.9,72.9,72.9,72.9
547,10196543,21.69,21.69,21.69,21.69,21.69
548,10196704,22.49,22.49,22.49,22.49,22.49
549,10196711,22.49,22.49,22.49,22.49,22.49
550,10196725,22.49,22.49,22.49,22.49,22.49
551,10196732,23.49,23.49,23.49,23.49,23.49
552,10196746,22.49,22.49,22.49,22.49,22.49
553,10196753,22.99,22.99,22.99,22.99,22.99
